Cause A,Cause B,Cause Expected Relationship,Effect A,Effect B,Effect Expected Relationship
They were following a nationwide mandate to curb individual screen time.,They were attempting to foster deeper connections by reducing distractions from devices.,High,"After several months, a promising candidate was developed.","After a day, the scientist had built a time machine.",High
A package was delivered to the house.,A stranger was loitering near the house.,High,He maintained a perfect smile.,He developed cavities over time.,High
The company was hosting a corporate event.,There was a break-in attempt.,High,They decided to start a new project immediately.,They successfully met the deadline the next morning.,High
Such frequency was to accommodate the higher number of commuters and reduce congestion.,A new species of fish was found in the ocean.,High,He managed to capture the perfect hue and shadow in his artwork.,He went out for dinner in the evening.,High
There was a heatwave.,It had snowed overnight.,High,"Over a couple of seasons, the yield from his farm increased substantially with healthier crops.",He decided to start a poultry farm on his property.,High
A famous actor started a new fashion trend.,It accommodated binge-watchers who prefer to watch at their own pace.,High,It became a mysterious and fascinating item to visitors.,It was discarded as broken.,High
A new species of bird was discovered.,There was a shortage of semiconductor chips.,High,The painting was sold immediately.,The painting showcased intricate patterns and depths as it morphed over time.,High
A highly favorable quarterly report was released.,A nearby river changed its course.,High,"Over the decade, travel between these cities became faster and more efficient.",The government launched a space exploration program.,High
A new rock band released their debut album.,There were unusually high temperatures during the growth period.,High,"Over the semester, the students developed the ability to read minds.","Over the semester, the students became more engaged and participative.",High
A new shopping mall was opened.,There was a free concert featuring a popular band.,High,They decided to start a small home garden.,"After several years, they accumulated a substantial amount.",High
A celebrity announced a new world tour.,The automatic bell system was malfunctioning.,High,Her father told her to drink her milk.,Her father immediately took away her dessert.,High
There was a system error in the portal's date setting.,A new restaurant opened in town.,High,They built a snowman in the garden.,They had fresh vegetables for meals in the fall.,High
A famous movie was released.,There were changes in climate patterns.,High,The beef was tender and flavorful after hours of cooking.,The beef was ready in an hour.,High
There was a festival in the forest.,A predator was lurking in the vicinity.,High,The team experienced fewer injuries and improved performance over time.,The team's attire color changed to a lighter shade.,High
There was a glitch in the central timekeeping system.,A famous painter arrived in town.,High,The company started to focus more on international markets.,Investors received more comprehensive data but had to wait longer between updates.,High
A new kind of flower was discovered in a remote forest.,Governments and private companies invested heavily in space technologies.,High,The city opened a new park downtown.,The pace of new construction projects in the city decreased significantly over time.,High
"The government actively fostered research and development in renewable energy, providing grants and incentives over years.",A pop star held a concert on the island.,High,Passengers had a more relaxed connection experience but the total travel time increased.,The airline introduced new in-flight meals.,High
"Industrial waste was being dumped into the lake, polluting it over time.",An award-winning film was screened on the lakeshore.,High,"The parks saw an increase in daily visitors, with many people bringing their work outdoors.",The parks started to close earlier in the evening.,High
The change was to accommodate the fast pace of developments and updates in the tech industry.,A rare bird was spotted in a remote part of the country.,High,"There was a decrease in the number of visitors, providing the environment more time to rejuvenate.",The national park introduced new flora and fauna exhibits.,High
The town started hosting an annual sea festival that gradually gained international attention.,The town experienced a series of thunderstorms.,High,The local government introduced water taxis as a new form of transport.,"Over time, there was a noticeable decrease in traffic congestion and pollution on that specific day of the week.",High
Someone set off fireworks in the neighborhood.,There was a parade passing by.,High,The residents felt uplifted and parks became busier.,All cars stopped working.,High
I marked an appointment on the calendar.,It was the beginning of a new month.,High,The flowers remained fresh for a longer time.,The flowers changed their color.,High
"The standing desk allowed Emily to maintain a more neutral spine position, reducing the pressure on her lower back.",The standing desk magically healed Emily's lower back.,High,Employee satisfaction increased and there was a notable improvement in work efficiency over time.,The factory introduced a new line of products.,High
It is because they have been lifting heavy weights.,It is due to the natural decrease in bone density over time.,High,The organizers introduced a new award category.,"Attendees were able to join from different time zones, which increased the overall participation.",High
Anna started eating foods that absorb vitamin D from the body.,There was a lack of natural sunlight in the basement apartment.,High,She opened a modern art gallery.,She became a renowned artist in the field.,High
The water softening system removed minerals from the water that were causing buildup in Sarah's hair over time.,Sarah was washing her hair more frequently.,High,The college changed its main courses to focus on science and technology.,"Over time, the educational level in the surrounding community noticeably improved.",High
It is due to the individual reading too much.,It is a natural part of aging.,High,"Over a few years, the nation's carbon footprint reduced significantly.",All the factories in the country were closed immediately.,High
It happens when Earth passes through a trail of debris left by a comet or asteroid.,It happens due to the sudden appearance of new stars in the night sky.,High,I felt extremely thirsty in the evening.,I felt bloated in the evening.,High
The farmer watered the fields excessively.,"The rainwater accumulated in the fields, unable to drain away quickly enough.",High,Companies started to hire more foreign workers.,Workers reported having a better work-life balance.,High
The Earth spirals closer to the sun.,A day-night cycle occurs.,High,Customers postponed their purchase decisions.,Customers rushed to avail the discounts before the offer ended.,High
She enjoyed the exercise and the opportunity to clear her mind before starting work.,She was collecting leaves for a herbarium.,High,"After a few years, there was a decrease in the number of elderly individuals suffering from lifestyle-related health issues.",The government introduced a new healthcare policy focusing on the youth.,High
He wanted to learn how to play the trombone.,He was fascinated by aviation and enjoyed assembling models.,High,I felt energized throughout the morning.,I felt hungry again within an hour.,High
The reduced oxygen levels at high altitudes were affecting Sarah's respiratory system.,Sarah started a new job.,High,The company started a cricket league for its employees.,"Over the years, the company became a leader in its sector, adopting the newest technologies rapidly.",High
She was trying to complete a painting.,She was in a hurry to reach her office on time.,High,The station started offering free snacks.,Many travelers missed their trains as they relied on the station clocks for the correct time.,High
A blackout occurred in the neighborhood.,Someone switched on a bright light.,High,They bought a new TV for the living room.,The family spent more quality time together.,High
The development team wanted to compete in a vaccine competition.,The urgent need to curb the pandemic propelled the rapid development.,High,Everyone disregarded the agenda and continued with their previous plans.,Everyone was well-informed about the meetings and deadlines for the week.,High
The company aimed to focus on producing electric vehicles for a sustainable future.,The company decided to venture into the production of airplane meals.,High,The team left with a clear vision and set of goals for the next three months.,The team learned a new language together.,High
People around the world decided to skip lunch that day.,The moon was positioned between the earth and the sun at that specific time.,High,Productivity increased as employees were motivated to finish their work sooner.,Employees started coming in on Saturdays to complete their work.,High
It rained overnight.,The sun was shining brightly.,High,She got a cold.,She got a sunburn.,High
It gave employees a regular weekly break and maintain machinery.,A new comet entered the solar system.,High,The plant blossomed with beautiful flowers.,The plant's leaves turned yellow and fell off.,High
It was the grandparent's golden wedding anniversary.,The latest blockbuster movie was released.,High,He felt very sleepy the next morning.,He found a new hobby.,High
The company maintained the exact same business model for the decade.,"The company consistently innovated and adapted to market demands, gaining a substantial customer base over time.",High,He had a stomachache later in the evening.,He started reading a book.,High
He decided to go for a swim.,He had a job interview scheduled for later in the day.,High,She set up camp to stay overnight.,"She witnessed a breathtaking view of the sun sinking below the horizon, painting the sky with warm hues.",High
A famous celebrity was visiting the park in the afternoon.,The weather was cooler and more comfortable in the morning.,High,He felt sick with food poisoning.,He won a cooking competition.,High
He wants to ensure they are always functioning for safety.,He has a phobia of batteries.,High,He was well-prepared for the exam.,He decided to skip the exam.,High
They wanted to celebrate a wedding.,They wanted to maintain close ties without it being too frequent.,High,It hosted the annual village fair.,"It became a beacon of wisdom, attracting seekers from far and wide.",High
There were technical difficulties with the projector.,They were serving free popcorn.,High,He became proficient in playing the guitar.,He developed an interest in painting.,High
They took separate vacations each year.,They maintained open communication and worked through challenges together.,High,Users started to ignore the security patches.,Users were better protected against newly discovered vulnerabilities.,High
She wants to use them while they are still good and avoid waste.,She likes to organize her fridge alphabetically.,High,She overslept and was late for work.,She cooked a gourmet breakfast.,High
They bought a new TV.,There was a severe snowstorm forecasted for that night.,High,They felt a sense of wonder seeing the shooting stars.,They had a family dinner.,High
It was the moment they had been waiting for to celebrate the New Year.,They had just finished watching a comedy show.,High,It provided a large area of shade during sunny days.,It started producing bananas.,High
They want to create a time-lapse of their growth and changes.,They were celebrating a birthday party.,High,He had to get new clothes to fit his changing body.,He started to shrink.,High
They were moving to a new city.,They wanted to commemorate their marriage on a significant milestone.,High,It was now a new hour.,It was now a new year.,High
They were going for a vacation.,They had conflicting schedules on the actual date.,High,Visitors could see the exhibit at any time of the year.,Visitors planned their trips during the open period to see the exhibit.,High
They started offering yoga classes.,They wanted to accommodate people who work during the day.,High,They have rugged peaks and dramatic landscapes today.,They disappeared without a trace.,High
They wanted to enjoy their freedom while they were still young.,They wanted to open a bakery.,High,She was well-prepared when finals week arrived.,She did not know any of the material for her exams.,High
She likes to watch a specific TV show during dinner.,She likes to maintain a regular eating schedule.,High,Consumers had new options for holiday shopping.,Consumers were dissatisfied with the previous product line.,High
They were decorating the office for a party.,They were trying to meet the annual sales target.,High,"Over time, he created a series depicting the sun at different times of the year.",He became an expert in identifying bird species.,High
She likes to plan her schedule meticulously.,She is a calendar designer.,High,"By her senior year, she was proficient in advanced calculus.",She became a well-known athlete in her school.,High
They were celebrating a birthday party.,They wanted to witness a rare astronomical event.,High,The community became famous for its architecture.,This tradition fostered a deep sense of unity and joy in the community.,High
The artist wanted to create an immediate buzz in the media.,The artist wanted to leave a message and artifacts for future generations to discover and understand their current time.,High,"Over the years, the children developed a deep love for books and storytelling.",The children became excellent mathematicians.,High
The analytics indicated a more active listener base in the new time slot.,The host of the show got a new pet.,High,He learned a variety of programming languages.,He started a cooking blog.,High
They wanted to celebrate a national holiday.,They wanted to start a tradition that symbolizes growth and new beginnings.,High,Patients with the specific condition had a new treatment option available.,Hospitals were less crowded.,High
The city implemented community policing and social programs targeted at reducing crime.,A superhero started patrolling the streets.,High,Complex simulations and calculations that would have taken years could now be completed in seconds.,Traditional painting techniques became obsolete.,High
Government introduced modern farming techniques and irrigation facilities.,A rock concert was held in the region.,High,Smartphone companies went bankrupt.,Many found they only needed one device to perform a variety of functions.,High
There was a free concert in the main square.,People were getting off work and returning to their homes.,High,"After a few years, there was a noticeable reduction in traffic jams during peak hours.",The city constructed a new stadium.,High
"A comprehensive vaccination campaign was undertaken, gradually building herd immunity.",A famous celebrity moved into the community.,High,"A decade later, literacy rates had significantly improved.",The government unveiled a new flag.,High
A prolonged drought condition coupled with increased water extraction led to the reduced water level in the river.,There was a massive rainstorm.,High,The wedding photos featured stunning backgrounds with trees showcasing vibrant fall colors.,They went for a honeymoon to a tropical island.,High
A popular movie featured the bird.,Conservation measures were effectively implemented over time.,High,The botanist started studying rock formations.,"By the time summer arrived, the field was a vibrant patchwork of colorful, blooming flowers attracting a myriad of butterflies and bees.",High
Global climate change altered weather patterns.,A massive volcano erupted nearby.,High,"By the end of the rainy season, they had collected a substantial amount of water to use for their garden during the drier months.",The family started a home-based pottery business.,High
They wanted to stay awake all night.,The harsh winter had finally ended.,High,They enjoyed witnessing the sap collection and syrup production process.,They relocated to a different state.,High
It was due to consistent water flow over a long period of time.,It was because of a single heavy rainfall event.,High,The company changed its logo.,Customers received their packages much quicker.,High
They intended to commemorate the event and to honor the resilience and solidarity shown during that difficult time.,They intended to host a music festival.,High,They initiated a new yoga festival centered around a bonfire.,"Following the tradition, they burned effigies on the bonfire to celebrate Guy Fawkes Night.",High
She had won a lottery.,"She reached the milestone age of 75, a remarkable period of her life.",High,Commuters reached their destinations faster.,People started bringing their pets to the subway.,High
He was honoring a personal tradition.,He was conducting a yearly weather report.,High,"Over time, my endurance decreased.","Over time, my endurance increased.",High
They wanted to allow employees time to recharge and pursue personal interests.,They wanted to cut down on yearly holiday events.,High,The post office delivered the letter the following day.,The post office expedited the letter three days later.,High
He wanted to become a novelist.,He was deeply fascinated by history and wanted to uncover the secrets of the past.,High,His mother sent him to his room.,His mother put a bandage on the wound.,High
They were marking the end of years of financial commitment and the full ownership of their home.,They were celebrating a festival.,High,"After a few months, they had rich soil for their garden.",They built a new fence.,High
It was the middle of the night.,A new day had begun.,High,I bit my tongue.,I burnt my tongue and it bothered me throughout the day.,High
They wanted to start a bakery business.,They wanted to maintain a cherished family tradition and enjoy a sense of connection with their ancestors.,High,More customers started shopping in the evenings after work.,The store introduced a new summer collection.,High
It was noon or midnight.,It was mid-afternoon.,High,"Throughout the morning, the smell of freshly baked pastries attracted many customers.",The bakery won an award later that day.,High
He wanted to finish most of his work before it got too hot.,He preferred working under the moonlight.,High,The garden was adorned with the beautiful and unique roses.,The gardener started a podcast.,High
John had memorized the most frequently drawn numbers and chose his lottery numbers based on statistical analysis.,John bought a lottery ticket every day instead of weekly.,High,The diversity of marine life in the region has decreased.,The marine life in the region has flourished.,High
The lid on the mailbox broke.,I went on vacation for two weeks.,High,Drought conditions in the region improved.,Rivers swelled and there was widespread flooding.,High
A group of conservationists had reintroduced these species a few years back.,A magical bird suddenly appeared and brought all the rare birds with it.,High,Individuals had a broad estimation of the daytime hours based on the sun's position.,People could accurately know the number of minutes in an hour.,High
The regulation time ended in a tie.,The team scored a goal in the first half.,High,Many buildings were damaged and infrastructure was disrupted.,The weather in the region became cooler.,High
I was hungry.,It was Saturday.,High,The pollution levels rose dramatically.,Wildlife gradually returned to the area.,High
The meeting room was already booked for the original date.,They needed to address urgent matters arising from a dip in the quarterly sales.,High,"Residents began to have a shared understanding of time, facilitating scheduled meetings and events.",People started painting their houses in bright colors.,High
The city wanted to avoid the high temperatures forecasted for the afternoon.,The mayor is an early riser.,High,People had an extra second to enjoy their daily activities.,This helped in keeping the accuracy of astronomical observations and navigational systems intact.,High
There was a nationwide system outage hindering the online tax filing process.,A new tax reform was passed.,High,People in many cultures celebrate this time as it marks the beginning of fall.,All stars become visible in the night sky.,High
The park staff wanted to have a longer evening break.,"The days were getting shorter, resulting in reduced daylight hours.",High,Residents could witness stunning sunsets every evening.,Residents had 24 hours of daylight.,High
The airline acquired new planes.,Analysis showed that business travelers preferred early morning flights to reach their destinations sooner.,High,The painting suffered severe deterioration and damage.,The painting's colors became more vibrant.,High
Many parents requested a later time to accommodate their travel plans.,The printing of the graduation programs was delayed.,High,"In a decade, the forest cover in the country increased.",The government launched a new welfare scheme for the elderly.,High
The weather forecast predicted rain for the original date.,There were discounts available for fireworks in early July.,High,Fashion enthusiasts had new trends to follow once a decade.,Fashion enthusiasts had new trends to follow multiple times a year.,High
A new statue was being inaugurated in the city.,They intended to provide more flexibility and accessibility to patients for undergoing tests.,High,People celebrated the start of the new year.,People prepared their dinner.,High
It was aligned with the specific treatment plan designed for optimal effectiveness.,The hospital was inaugurating a new wing.,High,The sale of morning newspapers increased.,The number of nighttime crimes decreased.,High
The cafeteria extended its hours.,It aimed to reduce wait times and organize patient visits more efficiently.,High,He found a sense of tranquility through the visual and tactile experience of the hourglass.,He stopped meditating.,High
It wanted to ensure immediate care for critical cases at any time of the day.,A celebrity was visiting the city.,High,She started forgetting what happened during the day.,She gained a deeper understanding of her daily experiences.,High
It was the start of the basketball season.,The teacher wanted to tie in recent happenings with historical perspectives and foster critical thinking.,High,She became less interested in drinking water.,She remained hydrated throughout the day.,High
The school built a new swimming pool every two years.,The school wanted former students to reconnect and network every two years.,High,He forgot how to use social media.,He became more conscious of the time he spent on social media.,High
The principal loved to play basketball.,The school wanted to encourage physical activity and school spirit.,High,The clocks stopped working.,He could accurately track the time from any room.,High
They ate airline food during the flight.,They traveled across several time zones.,High,He was able to accomplish small tasks more quickly.,He started procrastinating more.,High
She failed the final examination.,The professor praised her project.,High,He forgot how to do tasks that were not on his schedule.,He became more productive and managed his time efficiently.,High
The team encountered unexpected technical issues.,The team finished the initial work early.,High,She found herself sleeping better.,She could no longer read digital screens.,High
Many families visited the lake during the summer.,There was a sudden drop in temperatures in the fall.,High,He felt more organized and prepared for the week ahead.,He could no longer remember any of his plans.,High
They bought a new set of garden furniture.,The weather forecast predicted a cool and clear night.,High,She found herself less distracted by constant notifications.,She started missing urgent emails regularly.,High
There were several other assignments and tests scheduled for that week.,The teacher was going on a short vacation.,High,She had more time in the mornings to prepare for the day.,She started having lunch at breakfast time.,High
She wanted to be fully prepared for a championship in January.,She bought new training equipment.,High,She found herself having extra time at the end of each day.,She suddenly forgot all her appointments.,High
The seeds were on sale.,The meteorological department predicted an early spring.,High,"Over a few months, he built a regular listener base.","Within a day, he became a national celebrity.",High
The previous year's festival had a lower turnout.,They wanted to ensure it did not coincide with a national election.,High,He started a career as a movie director the following week.,He learned how to take professional photos.,High
There was a power outage scheduled for the original date.,A new course was introduced in the curriculum.,High,"After a year, she could play complex pieces of music.","After a day, she performed a concert.",High
"A new bus route started, bringing more commuters in the morning.",The neighboring shop changed its hours of operation.,High,"In a week, they became marathon runners.","Over time, they both became fitter and healthier.",High
The summer days were hot and evenings were more comfortable.,A new roller coaster was opened.,High,She instantly won a lottery.,"Over time, she found herself feeling more positive and happy.",High
The school wanted to expose students to different career options.,The school was near a library.,High,His daily commute time was significantly reduced.,His daily commute time tripled.,High
There was a high demand from students during the exam period.,There was a new library card system implemented.,High,She immediately got a promotion at her work.,She was tired but fulfilled as she was learning something new.,High
There were more attendees last year.,The lighting was better for the play during morning hours.,High,"Over a period, he felt more relaxed and had better control over his emotions.","Within a day, he achieved enlightenment.",High
They had skipped lunch.,They bought a new dining table.,High,She often arrived earlier than necessary.,She was late more often.,High
A few speakers canceled their presentations at the last minute.,Many attendees were international.,High,She lost her sense of time completely.,She became more aware of how she was spending her time during breaks.,High
Fireworks were available at a discounted price.,The government imposed a curfew due to rising COVID-19 cases.,High,He was able to consistently brush his teeth for the recommended two minutes.,He brushed his teeth more quickly.,High
They wanted to incorporate Christmas festivities into their celebration.,They found a great venue available in the summer.,High,He maintained a regular and consistent communication with his parents.,He forgot to call his parents altogether.,High
There was a technical fault on one of the lines.,A new train station was inaugurated.,High,She had to adapt to a new working hours schedule.,She started learning a new language.,High
There were new attractions added to the festival lineup.,There was a significant outbreak of a contagious disease.,High,He arrived on time for his appointment.,He decided to paint the clock.,High
The organizers wanted to commemorate the 10-year milestone.,The school colors changed after graduation.,High,He started doing more chores.,He came home earlier in the evenings.,High
They had a lot of wedding presents to open.,They were waiting for the travel restrictions to be lifted.,High,He could tell the time in grade school.,He became a clockmaker.,High
The noise and fast pace of the city life were wearing on him.,He had just completed a marathon.,High,The clock stopped ticking.,She bought a new clock.,High
She wants to ensure students practice the material learned over the week.,There is a policy to reduce the number of school holidays.,High,He developed a resilience and a routine that brought a sense of accomplishment.,He became more fit and enjoyed the daily dose of outdoor exercise.,High
A film festival was held there every autumn.,It was a popular destination for holidaymakers during the warm season.,High,He created a stunning series of sunrise photos showcasing the changing seasons.,He developed a deeper appreciation for the daily phenomenon and the beauty of nature.,High
The writer missed an important deadline last week.,The writer avoided bias in her stories.,High,"His reading comprehension improved, retaining more details from the story.","He became more engaged with the story, actively predicting the plot twists.",High
They were participating in a scientific experiment to study the effects of cross-seasonal pollination.,They wanted to ensure a continuous cycle of blooming plants throughout the year.,High,He created a serene and undistracted space to unwind at the end of the day.,He found that he was sleeping better and waking up more refreshed.,High
A long-lost postal service bag was finally discovered and delivered.,A time traveler sent letters from the past to confuse the locals.,High,She could remember her dreams more vividly and started noticing patterns in them.,She was fostering a habit of immediate reflection and self-awareness each morning.,High
"A sea god controlled the island, allowing it to surface for a brief period as a gift to humans.",The island was subject to a unique geological phenomenon causing it to submerge and re-emerge over long intervals.,High,"Immediately, they became professional dancers.","Over time, they improved their dance skills and grew closer as a couple.",High
A genius physicist discovered a method to manipulate the passage of time in confined spaces.,The club was built on a vortex where the fabric of time was naturally distorted.,High,She could manage her day better with a clear delineation of work tasks in the morning.,She felt more alert and could articulate her thoughts better in the morning.,High
She wanted to discuss the syllabus for the next year.,She wanted to celebrate the hard work of her students throughout the year.,High,He opened a museum.,He expanded his knowledge and started his day in a calm manner.,High
"A tree whisperer had sung to it the previous night, waking it from its slumber.",A once in a lifetime climatic event triggered the tree’s biological response to bloom.,High,She was always punctual for her appointments.,She started to learn a new language.,High
The flower has a very slow biological clock.,A forest spirit dictates the blooming cycle of the flower as per an ancient pact.,High,He started a rock band.,His children developed a love for reading and they shared quality family time each night.,High
A wizard had elongated the day to complete a special magical task.,"A rare astronomical event caused an extended day, confusing the residents.",High,He gradually became a proficient pianist.,He became a marine biologist.,High
I planned to attend my uncle's funeral.,I planned to attend my friend's wedding.,High,She opened a bakery.,"By the end of the year, she had developed a robust skill set and portfolio.",High
